# GameN, gameLength, gameElo, minBase, dinBase
2131.0,153.0,1575.4,3.9,17.4
2132.0,184.0,1582.3,3.7,17.7
2133.0,145.0,1589.1,4.8,16.7
2134.0,247.0,1582.9,4.6,16.8
2135.0,300.0,1591.7,5.3,15.9
2136.0,268.0,1600.3,3.4,17.7
2137.0,175.0,1608.7,4.0,17.4
2138.0,118.0,1601.0,2.8,18.4
2139.0,144.0,1609.3,3.9,17.8
2140.0,300.0,1613.3,4.0,17.3
2141.0,147.0,1605.3,4.3,17.1
2142.0,243.0,1609.3,4.2,17.3
2143.0,103.0,1617.7,3.0,18.3
2144.0,113.0,1610.0,4.1,17.1
2145.0,300.0,1604.0,4.9,16.5
2146.0,300.0,1610.6,5.3,16.4
2147.0,189.0,1616.1,5.0,16.6
2148.0,96.0,1608.8,3.0,18.1
2149.0,300.0,1616.2,5.6,16.0
2150.0,95.0,1607.9,5.4,16.1
2151.0,233.0,1601.0,4.7,16.8
2152.0,138.0,1608.3,3.2,18.0
2153.0,149.0,1600.7,4.7,16.8
2154.0,299.0,1608.2,5.1,16.3
2155.0,180.0,1615.3,4.4,17.3
2156.0,211.0,1607.5,4.5,17.1
2157.0,182.0,1614.7,4.1,17.2
2158.0,120.0,1607.8,3.8,17.5
2159.0,120.0,1601.2,4.3,17.1
2160.0,172.0,1607.6,4.6,16.9
2161.0,221.0,1600.0,4.1,17.2
2162.0,117.0,1593.4,2.8,18.3
2163.0,109.0,1601.8,4.3,17.1
2164.0,153.0,1607.9,5.3,16.2
2165.0,111.0,1612.5,3.2,18.1
2166.0,300.0,1605.4,3.7,17.7
2167.0,218.0,1612.5,3.9,17.6
2168.0,135.0,1605.4,3.8,17.6
2169.0,191.0,1595.8,4.6,16.8
2170.0,300.0,1599.5,4.0,17.4
2171.0,238.0,1607.9,4.4,17.1
2172.0,300.0,1601.1,4.9,16.6
2173.0,300.0,1592.6,3.8,17.6
2174.0,158.0,1585.3,4.8,16.7
2175.0,300.0,1579.3,4.1,17.2
2176.0,166.0,1571.9,3.9,17.5
2177.0,142.0,1580.4,3.7,17.5
2178.0,154.0,1573.7,4.0,17.5
2179.0,209.0,1567.0,5.1,16.5
2180.0,141.0,1574.2,3.9,17.5
2181.0,193.0,1566.9,4.2,17.2
2182.0,194.0,1574.8,4.4,16.9
2183.0,300.0,1582.9,5.6,15.9
2184.0,300.0,1577.0,4.0,17.3
2185.0,108.0,1584.5,4.6,16.7
2186.0,58.0,1585.0,2.5,18.7
2187.0,67.0,1592.1,2.0,19.0
2188.0,208.0,1600.4,4.6,16.9
2189.0,241.0,1592.0,4.3,17.1
2190.0,198.0,1599.3,3.7,17.9
2191.0,232.0,1606.7,3.5,17.9
2192.0,150.0,1599.6,4.1,17.3
2193.0,194.0,1592.6,3.0,18.2
2194.0,143.0,1584.8,2.9,18.3
2195.0,186.0,1578.7,4.5,16.9
2196.0,300.0,1584.4,3.7,17.6
2197.0,109.0,1578.6,4.4,16.9
2198.0,160.0,1586.1,4.2,17.3
2199.0,134.0,1593.7,2.7,18.4
2200.0,117.0,1586.1,3.0,18.2
2201.0,178.0,1593.8,3.8,17.6
2202.0,268.0,1598.6,4.0,17.4
2203.0,94.0,1606.4,2.4,18.7
2204.0,279.0,1600.1,4.0,17.4
2205.0,151.0,1605.1,3.7,17.6
2206.0,300.0,1597.7,3.8,17.6
2207.0,142.0,1591.3,3.3,17.9
2208.0,224.0,1585.2,3.9,17.4
2209.0,160.0,1579.5,3.8,17.4
2210.0,154.0,1572.2,3.7,17.5
2211.0,106.0,1566.3,3.8,17.5
2212.0,300.0,1575.1,5.4,16.1
2213.0,213.0,1569.1,3.8,17.7
2214.0,300.0,1569.5,4.0,17.6
2215.0,300.0,1563.0,4.4,16.9
2216.0,162.0,1564.2,5.4,16.0
2217.0,88.0,1557.9,3.0,18.2
2218.0,202.0,1566.2,3.5,17.9
2219.0,300.0,1573.6,4.4,17.1
2220.0,242.0,1566.5,4.3,17.2
2221.0,128.0,1560.7,2.9,18.3
2222.0,300.0,1555.1,4.2,17.2
2223.0,123.0,1563.3,3.9,17.6
2224.0,230.0,1571.2,4.6,16.9
2225.0,141.0,1578.1,3.5,17.8
2226.0,193.0,1571.6,4.3,17.3
2227.0,300.0,1565.9,4.4,17.0
2228.0,300.0,1560.3,6.0,15.5
2229.0,300.0,1569.3,3.7,17.7
2230.0,161.0,1576.1,4.5,17.1
2231.0,86.0,1576.3,4.0,17.2
2232.0,112.0,1570.4,3.6,17.6
2233.0,242.0,1575.5,4.2,17.2
2234.0,275.0,1582.5,4.7,16.8
2235.0,228.0,1575.3,3.7,17.6
2236.0,169.0,1583.1,3.8,17.6
2237.0,300.0,1591.0,4.2,17.1
2238.0,300.0,1584.0,4.6,16.8
2239.0,287.0,1591.4,4.0,17.3
2240.0,123.0,1599.8,4.0,17.3
2241.0,215.0,1607.1,3.7,17.7
2242.0,246.0,1615.1,4.4,17.2
2243.0,200.0,1608.3,3.8,17.6
2244.0,133.0,1599.1,4.6,16.8
2245.0,266.0,1591.9,4.6,16.9
2246.0,178.0,1600.1,4.7,16.5
2247.0,300.0,1592.6,4.2,17.1
2248.0,158.0,1599.6,3.6,17.6
2249.0,201.0,1607.8,4.0,17.4
2250.0,300.0,1612.1,3.8,17.5
2251.0,244.0,1604.7,4.4,17.2
2252.0,300.0,1604.2,4.4,16.9
2253.0,168.0,1596.3,3.4,17.8
2254.0,300.0,1597.5,4.3,17.2
2255.0,191.0,1605.6,3.5,17.8
2256.0,151.0,1596.6,3.6,17.7
2257.0,300.0,1589.6,4.8,16.5
2258.0,151.0,1583.9,4.2,17.3
2259.0,300.0,1583.9,4.0,17.3
2260.0,300.0,1578.1,3.7,17.6
2261.0,300.0,1586.2,4.2,17.2
2262.0,92.0,1579.5,2.4,18.9
2263.0,177.0,1580.5,3.3,18.0
2264.0,300.0,1574.1,4.3,17.1
2265.0,195.0,1581.0,4.2,17.3
2266.0,213.0,1581.3,5.2,16.4
2267.0,300.0,1588.4,4.7,16.7
2268.0,201.0,1581.9,4.4,17.0
2269.0,200.0,1582.6,3.8,17.6
2270.0,206.0,1588.4,4.2,17.1
2271.0,135.0,1594.9,4.0,17.2
2272.0,300.0,1601.9,5.3,16.2
2273.0,128.0,1608.6,4.3,17.0
2274.0,192.0,1600.4,5.1,16.3
2275.0,300.0,1605.2,4.5,16.9
2276.0,192.0,1608.7,3.5,17.6
2277.0,300.0,1616.1,3.9,17.3
2278.0,194.0,1607.8,4.5,16.8
2279.0,134.0,1614.6,4.3,16.9
2280.0,216.0,1622.3,4.5,16.9
2281.0,256.0,1628.8,4.1,17.3
2282.0,168.0,1622.4,3.5,17.8
2283.0,110.0,1628.3,3.7,17.6
2284.0,300.0,1622.0,4.8,16.6
2285.0,196.0,1614.8,3.9,17.7
2286.0,189.0,1605.4,3.7,17.6
2287.0,300.0,1612.4,4.1,17.3
2288.0,300.0,1604.9,3.7,17.7
2289.0,125.0,1603.0,3.6,17.7
2290.0,122.0,1609.1,3.9,17.6
2291.0,146.0,1617.8,4.2,17.2
2292.0,168.0,1607.4,4.9,16.7
2293.0,224.0,1599.1,4.3,17.0
2294.0,228.0,1591.4,4.1,17.4
2295.0,176.0,1598.8,4.2,17.1
2296.0,98.0,1592.2,3.0,18.2
2297.0,72.0,1599.7,3.8,17.5
2298.0,218.0,1593.5,3.5,17.7
2299.0,286.0,1601.7,4.5,17.1
2300.0,287.0,1610.4,4.4,17.2
2301.0,196.0,1602.6,3.0,18.2
2302.0,222.0,1596.4,3.5,17.7
2303.0,162.0,1590.6,3.3,17.9
2304.0,298.0,1597.8,3.5,17.8
2305.0,137.0,1605.4,3.8,17.7
2306.0,171.0,1611.5,3.8,17.5
2307.0,122.0,1617.2,4.2,17.2
2308.0,240.0,1623.9,3.5,17.7
2309.0,300.0,1629.1,5.0,16.6
2310.0,115.0,1635.2,3.3,18.0
2311.0,113.0,1628.7,3.0,18.2
2312.0,300.0,1636.6,3.4,18.0
2313.0,300.0,1641.1,4.1,17.4
2314.0,120.0,1647.1,3.7,17.6
2315.0,187.0,1645.1,4.0,17.4
2316.0,174.0,1637.8,3.4,18.0
2317.0,184.0,1629.4,3.4,17.8
2318.0,162.0,1622.1,3.3,18.0
2319.0,111.0,1628.2,4.0,17.4
2320.0,185.0,1620.4,4.1,17.2
2321.0,106.0,1627.6,4.0,17.2
2322.0,300.0,1621.0,4.2,17.2
2323.0,300.0,1628.2,3.5,17.9
2324.0,134.0,1620.0,5.4,16.2
2325.0,238.0,1626.7,4.1,17.4
2326.0,166.0,1619.3,4.4,17.1
2327.0,179.0,1612.3,3.8,17.6
2328.0,300.0,1617.6,4.5,17.0
2329.0,300.0,1608.9,5.0,16.2
2330.0,120.0,1608.5,3.3,18.0
2331.0,139.0,1616.0,3.5,17.8
2332.0,219.0,1623.5,3.7,17.6
2333.0,238.0,1616.4,4.1,17.3
2334.0,241.0,1622.9,4.6,17.0
2335.0,179.0,1615.7,3.4,18.1
2336.0,300.0,1608.0,4.6,16.7
2337.0,125.0,1601.6,3.1,18.1
2338.0,188.0,1609.5,3.7,17.6
2339.0,300.0,1615.8,4.8,16.6
2340.0,186.0,1622.4,3.2,18.0
2341.0,143.0,1630.3,4.6,16.8
2342.0,295.0,1633.9,4.0,17.5
2343.0,240.0,1640.7,4.6,16.9
2344.0,300.0,1634.0,4.9,16.8
2345.0,111.0,1626.1,3.2,18.0
2346.0,300.0,1619.0,4.2,17.2
2347.0,74.0,1612.5,2.6,18.5
2348.0,300.0,1605.3,4.2,17.1
2349.0,300.0,1597.7,4.5,16.9
2350.0,212.0,1605.7,3.8,17.5
2351.0,203.0,1598.5,3.3,18.0
2352.0,228.0,1591.6,5.7,15.7
2353.0,300.0,1597.9,4.8,16.7
2354.0,113.0,1590.0,4.4,16.8
2355.0,231.0,1590.3,3.0,18.3
2356.0,137.0,1595.3,4.2,17.2
2357.0,140.0,1586.1,3.8,17.5
2358.0,153.0,1579.7,4.0,17.4
2359.0,300.0,1587.2,4.2,17.3
2360.0,300.0,1593.8,4.0,17.3
2361.0,99.0,1586.9,5.8,15.7
