# GameN, gameLength, gameElo
1.0,150.0,2000.0
2.0,155.0,2000.0
3.0,98.0,2000.3
4.0,82.0,2000.5
5.0,115.0,2000.7
6.0,112.0,2000.9
7.0,143.0,2001.1
8.0,183.0,2001.3
9.0,159.0,2001.5
10.0,95.0,2001.7
11.0,136.0,2001.9
12.0,144.0,2002.0
13.0,107.0,2002.2
14.0,124.0,2002.4
15.0,150.0,2002.5
16.0,141.0,2002.7
17.0,108.0,2002.8
18.0,127.0,2003.0
19.0,104.0,2003.2
20.0,100.0,2003.3
21.0,138.0,2003.4
22.0,118.0,2003.6
23.0,208.0,2003.7
24.0,120.0,2003.9
25.0,93.0,2026.4
26.0,137.0,1981.8
27.0,107.0,1959.6
28.0,119.0,1940.5
29.0,124.0,1967.2
30.0,78.0,1967.4
31.0,133.0,1967.5
32.0,196.0,1967.7
33.0,74.0,1967.9
34.0,98.0,1948.7
35.0,66.0,1973.3
36.0,102.0,1973.4
37.0,101.0,1973.6
38.0,99.0,1954.3
39.0,81.0,1954.4
40.0,139.0,1937.6
41.0,138.0,1922.7
42.0,166.0,1948.9
43.0,98.0,1933.0
44.0,202.0,1914.3
45.0,161.0,1936.7
46.0,151.0,1961.1
47.0,120.0,1961.3
48.0,105.0,1941.3
49.0,85.0,1941.5
50.0,128.0,1941.6
51.0,160.0,1963.9
52.0,82.0,1964.1
53.0,118.0,1964.2
54.0,123.0,1983.8
55.0,103.0,1983.9
56.0,90.0,1984.1
57.0,129.0,1964.8
58.0,125.0,1983.0
59.0,180.0,1964.9
60.0,115.0,1948.8
61.0,137.0,1948.9
62.0,106.0,1931.2
63.0,108.0,1931.4
64.0,130.0,1918.0
65.0,150.0,1918.2
66.0,142.0,1901.2
67.0,103.0,1921.0
68.0,88.0,1904.9
69.0,133.0,1923.4
70.0,138.0,1905.4
71.0,115.0,1905.5
72.0,166.0,1894.3
73.0,96.0,1880.6
74.0,175.0,1880.8
75.0,100.0,1871.1
76.0,126.0,1871.4
77.0,93.0,1859.5
78.0,172.0,1842.8
79.0,111.0,1830.0
80.0,132.0,1830.3
81.0,70.0,1854.2
82.0,93.0,1879.4
83.0,126.0,1865.7
84.0,99.0,1849.8
85.0,145.0,1850.0
86.0,197.0,1838.8
87.0,80.0,1825.1
88.0,140.0,1817.3
89.0,140.0,1810.0
90.0,158.0,1798.3
91.0,140.0,1791.9
92.0,197.0,1783.6
93.0,115.0,1783.9
94.0,126.0,1752.1
95.0,83.0,1779.3
96.0,132.0,1803.8
97.0,67.0,1826.5
98.0,101.0,1795.0
99.0,131.0,1788.2
100.0,64.0,1809.8
101.0,132.0,1829.6
102.0,133.0,1850.1
103.0,132.0,1835.7
104.0,193.0,1859.3
105.0,115.0,1846.3
106.0,82.0,1850.0
107.0,101.0,1850.2
108.0,183.0,1838.1
109.0,55.0,1823.1
110.0,105.0,1843.5
111.0,121.0,1863.7
112.0,138.0,1854.2
113.0,89.0,1854.5
114.0,140.0,1871.5
115.0,119.0,1889.5
116.0,107.0,1889.7
117.0,106.0,1879.7
118.0,101.0,1896.4
119.0,75.0,1886.6
120.0,91.0,1877.5
121.0,174.0,1877.7
122.0,117.0,1862.6
123.0,111.0,1884.8
124.0,247.0,1869.0
125.0,112.0,1883.7
126.0,149.0,1874.3
127.0,152.0,1888.1
128.0,81.0,1879.0
129.0,120.0,1891.9
130.0,72.0,1903.8
131.0,126.0,1894.5
132.0,101.0,1915.4
133.0,121.0,1929.2
134.0,130.0,1929.3
135.0,168.0,1909.7
136.0,133.0,1909.9
137.0,88.0,1893.9
138.0,138.0,1879.3
139.0,153.0,1865.5
140.0,102.0,1882.0
141.0,123.0,1894.4
142.0,107.0,1879.3
143.0,94.0,1866.0
144.0,98.0,1882.8
145.0,83.0,1869.3
146.0,189.0,1869.5
147.0,102.0,1856.2
148.0,86.0,1856.4
149.0,168.0,1843.7
150.0,86.0,1861.0
151.0,67.0,1848.4
152.0,104.0,1865.1
153.0,105.0,1881.4
154.0,78.0,1868.3
155.0,122.0,1884.5
156.0,99.0,1875.9
157.0,130.0,1891.1
158.0,94.0,1882.5
159.0,119.0,1882.7
160.0,103.0,1898.4
161.0,115.0,1912.2
162.0,135.0,1903.3
163.0,209.0,1888.3
164.0,172.0,1888.4
165.0,57.0,1880.6
166.0,88.0,1881.2
167.0,90.0,1867.9
168.0,105.0,1879.8
169.0,115.0,1894.2
170.0,101.0,1908.5
171.0,80.0,1908.7
172.0,124.0,1890.8
173.0,112.0,1877.8
174.0,188.0,1864.4
175.0,131.0,1878.7
176.0,99.0,1864.4
177.0,92.0,1852.2
178.0,94.0,1845.9
179.0,72.0,1861.7
180.0,127.0,1877.5
181.0,80.0,1889.0
182.0,137.0,1874.9
183.0,107.0,1888.7
184.0,117.0,1899.3
185.0,99.0,1911.6
186.0,114.0,1922.9
187.0,90.0,1908.2
188.0,71.0,1921.4
189.0,177.0,1906.4
190.0,76.0,1918.7
191.0,88.0,1905.5
192.0,149.0,1897.9
193.0,103.0,1884.0
194.0,121.0,1884.2
195.0,114.0,1899.6
196.0,114.0,1882.5
197.0,207.0,1870.6
198.0,121.0,1883.7
199.0,113.0,1868.8
200.0,83.0,1856.3
201.0,92.0,1844.9
202.0,133.0,1860.2
203.0,113.0,1845.4
204.0,109.0,1831.6
205.0,73.0,1826.4
206.0,74.0,1843.6
207.0,84.0,1857.0
208.0,80.0,1869.8
209.0,164.0,1863.7
210.0,123.0,1852.2
211.0,167.0,1864.8
212.0,99.0,1878.6
213.0,89.0,1893.2
214.0,72.0,1877.5
215.0,108.0,1865.3
216.0,111.0,1878.5
217.0,103.0,1898.6
218.0,57.0,1898.7
219.0,99.0,1884.3
220.0,71.0,1898.4
221.0,90.0,1886.2
222.0,87.0,1899.8
223.0,101.0,1885.2
224.0,109.0,1897.6
225.0,154.0,1909.1
226.0,100.0,1921.7
227.0,125.0,1908.4
228.0,63.0,1922.1
229.0,75.0,1932.7
230.0,89.0,1943.4
231.0,103.0,1952.7
232.0,89.0,1969.6
233.0,115.0,1979.5
234.0,117.0,1989.0
235.0,157.0,1997.8
236.0,117.0,1997.9
237.0,108.0,2005.2
238.0,121.0,2005.3
239.0,97.0,1987.6
240.0,106.0,1969.7
241.0,132.0,1980.8
242.0,96.0,1964.2
243.0,105.0,1973.9
244.0,64.0,1957.6
245.0,110.0,1942.1
246.0,94.0,1927.5
247.0,136.0,1936.8
248.0,97.0,1922.9
249.0,103.0,1923.0
250.0,109.0,1910.2
251.0,186.0,1920.6
252.0,106.0,1933.5
253.0,149.0,1947.1
254.0,139.0,1958.6
255.0,116.0,1969.1
256.0,182.0,1954.6
257.0,87.0,1962.9
258.0,64.0,1970.7
259.0,125.0,1980.4
260.0,121.0,1970.4
261.0,115.0,1957.2
262.0,82.0,1965.6
263.0,135.0,1948.5
264.0,116.0,1933.8
265.0,115.0,1918.3
266.0,75.0,1918.4
267.0,127.0,1929.9
268.0,84.0,1916.0
269.0,228.0,1925.1
270.0,139.0,1938.9
