# GameN, gameLength, gameElo
246.0,125.0,1869.9
247.0,81.0,1858.0
248.0,88.0,1873.3
249.0,80.0,1863.3
250.0,113.0,1873.8
251.0,86.0,1889.2
252.0,97.0,1904.2
253.0,157.0,1892.0
254.0,133.0,1905.2
255.0,71.0,1905.1
256.0,62.0,1905.2
257.0,101.0,1917.0
258.0,106.0,1900.3
259.0,72.0,1913.7
260.0,85.0,1901.2
261.0,76.0,1888.4
262.0,76.0,1876.2
263.0,106.0,1865.6
264.0,130.0,1880.0
265.0,82.0,1892.2
266.0,78.0,1881.5
267.0,275.0,1894.7
268.0,109.0,1879.4
269.0,100.0,1877.6
270.0,99.0,1865.2
271.0,111.0,1876.2
272.0,88.0,1863.4
273.0,94.0,1854.1
274.0,80.0,1844.3
275.0,114.0,1831.0
276.0,107.0,1845.3
277.0,236.0,1835.1
278.0,95.0,1848.8
279.0,120.0,1861.9
280.0,128.0,1873.0
281.0,288.0,1886.7
282.0,58.0,1900.6
283.0,72.0,1910.1
284.0,88.0,1921.0
285.0,73.0,1931.1
286.0,105.0,1918.3
287.0,108.0,1926.8
288.0,86.0,1936.4
289.0,174.0,1923.1
290.0,124.0,1932.4
291.0,156.0,1932.5
292.0,134.0,1944.0
293.0,247.0,1954.4
294.0,83.0,1940.7
295.0,101.0,1926.0
296.0,92.0,1937.2
297.0,261.0,1923.1
298.0,77.0,1934.1
299.0,101.0,1920.2
300.0,146.0,1929.3
301.0,111.0,1916.4
302.0,201.0,1905.3
303.0,82.0,1891.8
304.0,147.0,1891.9
305.0,166.0,1904.2
306.0,300.0,1893.5
307.0,91.0,1893.9
308.0,156.0,1891.5
309.0,113.0,1904.6
310.0,200.0,1894.2
311.0,145.0,1882.3
312.0,159.0,1895.6
313.0,114.0,1884.2
314.0,97.0,1886.7
315.0,77.0,1886.8
316.0,50.0,1877.3
317.0,102.0,1866.6
318.0,110.0,1880.3
319.0,108.0,1880.5
320.0,65.0,1895.1
321.0,177.0,1883.7
322.0,105.0,1898.1
323.0,122.0,1888.1
324.0,227.0,1889.2
325.0,140.0,1902.2
326.0,106.0,1902.7
327.0,82.0,1914.5
328.0,103.0,1902.0
329.0,100.0,1889.9
330.0,164.0,1877.6
331.0,66.0,1890.6
332.0,206.0,1902.8
333.0,131.0,1891.1
334.0,105.0,1879.1
335.0,147.0,1868.7
336.0,52.0,1882.0
337.0,107.0,1893.9
338.0,107.0,1882.1
339.0,138.0,1871.7
340.0,101.0,1871.8
341.0,91.0,1872.0
342.0,83.0,1886.0
343.0,109.0,1899.2
344.0,122.0,1911.2
345.0,185.0,1898.7
346.0,128.0,1910.3
347.0,77.0,1899.3
348.0,116.0,1911.6
349.0,66.0,1899.5
350.0,131.0,1911.3
351.0,150.0,1899.5
352.0,257.0,1911.4
353.0,178.0,1922.6
354.0,133.0,1932.9
355.0,116.0,1944.4
356.0,125.0,1931.6
357.0,59.0,1941.7
358.0,158.0,1951.1
359.0,141.0,1938.6
360.0,200.0,1925.4
361.0,265.0,1910.7
362.0,111.0,1921.8
363.0,147.0,1910.2
364.0,108.0,1900.1
365.0,111.0,1887.9
366.0,115.0,1888.0
367.0,98.0,1878.3
368.0,124.0,1867.4
369.0,98.0,1879.7
370.0,113.0,1891.8
371.0,125.0,1879.6
372.0,87.0,1892.4
373.0,79.0,1881.4
374.0,98.0,1891.5
375.0,79.0,1891.6
376.0,98.0,1882.6
377.0,118.0,1893.8
378.0,116.0,1907.0
379.0,94.0,1917.7
380.0,119.0,1908.1
381.0,100.0,1896.0
382.0,85.0,1885.8
383.0,77.0,1875.2
384.0,85.0,1865.3
385.0,90.0,1854.1
386.0,185.0,1843.6
387.0,142.0,1858.5
388.0,113.0,1848.8
389.0,91.0,1839.0
390.0,102.0,1851.6
391.0,95.0,1864.0
392.0,155.0,1854.4
