# GameN, gameLength, gameElo, minBase, dinBase, meandistMine, meandistDine, isInFront, carryEnimy, carryAlly
2618.00000,300.00000,1789.22401,2.67109,18.51697,16.74951,9.36403,0.79048,0.00117,0.00000
2619.00000,300.00000,1783.41534,2.80528,18.36002,15.10558,7.31761,0.81350,0.00173,0.00000
2620.00000,300.00000,1777.96994,4.11520,17.22466,28.90270,12.28986,0.46284,0.00203,0.00000
2621.00000,300.00000,1770.27626,2.61446,18.63491,13.56060,6.75860,0.71322,0.00549,0.00000
2622.00000,244.00000,1776.86683,3.22777,18.05629,16.27564,6.87007,0.11888,0.06733,0.00999
2623.00000,300.00000,1771.46000,3.23241,18.32127,21.92431,4.29329,0.07404,0.03908,0.00000
2624.00000,300.00000,1780.02182,2.79906,18.38858,20.33346,6.83034,0.77131,0.00117,0.00000
2625.00000,236.00000,1787.13387,3.54004,17.72067,23.35987,9.87896,0.28445,0.05261,0.01164
2626.00000,300.00000,1780.71582,2.46939,18.74467,13.77823,8.59546,0.48050,0.00454,0.00000
2627.00000,300.00000,1787.34375,2.46790,18.68857,14.19458,8.13942,0.71189,0.00251,0.00201
2628.00000,300.00000,1788.55427,2.86907,18.48036,18.58920,8.76391,0.53355,0.00614,0.00000
2629.00000,300.00000,1782.09157,3.34005,18.32026,26.16490,5.89996,0.14034,0.00916,0.01026
2630.00000,300.00000,1784.94955,3.17357,18.38562,24.37727,8.60857,0.46496,0.00109,0.00000
2631.00000,300.00000,1792.20811,3.02771,18.49518,20.73333,5.64578,0.47209,0.01928,0.00000
2632.00000,300.00000,1784.60566,3.69832,17.99027,31.78557,17.34430,0.50000,0.00000,0.00000
2633.00000,300.00000,1793.20948,2.76982,18.63354,20.13043,13.63135,0.70406,0.00000,0.00000
2634.00000,300.00000,1794.86134,2.93233,18.35748,23.15300,6.83597,0.67874,0.00441,0.00000
2635.00000,300.00000,1789.71822,3.20972,18.34170,22.66275,5.59960,0.09919,0.03198,0.00000
2636.00000,300.00000,1796.47262,3.02693,18.38519,21.49925,6.63126,0.46429,0.01122,0.00000
2637.00000,300.00000,1803.10360,2.52456,18.67697,14.79297,9.26757,0.69750,0.00423,0.00677
2638.00000,300.00000,1804.20269,3.27489,18.12556,24.66085,17.63782,0.81761,0.01003,0.00000
2639.00000,300.00000,1798.07531,3.27585,18.15277,26.60036,11.60966,0.53470,0.01002,0.00322
2640.00000,300.00000,1806.37774,3.57292,18.03958,29.08785,5.51632,0.34253,0.01181,0.00069
