# GameN, gameLength, gameElo, minBase, dinBase
1999.0,225.0,2100.8,3.9,17.4
2000.0,237.0,2104.8,4.3,17.2
2001.0,205.0,2108.7,6.2,15.5
2002.0,157.0,2099.4,4.0,17.4
2003.0,300.0,2105.6,5.3,16.1
2004.0,300.0,2095.1,5.6,16.0
2005.0,184.0,2085.2,4.5,17.0
2006.0,263.0,2087.1,4.5,17.0
2007.0,180.0,2076.3,5.0,16.4
2008.0,118.0,2080.4,4.1,17.1
2009.0,133.0,2088.0,4.2,17.2
2010.0,186.0,2075.7,5.2,16.1
2011.0,174.0,2067.7,4.0,17.4
2012.0,115.0,2071.9,4.6,16.7
2013.0,156.0,2065.1,4.5,16.9
2014.0,153.0,2070.8,5.5,16.2
2015.0,177.0,2063.0,3.7,17.5
2016.0,134.0,2067.1,4.8,16.6
2017.0,259.0,2060.4,5.0,16.4
2018.0,137.0,2062.1,4.3,16.9
2019.0,267.0,2052.1,4.5,16.9
2020.0,166.0,2060.8,3.8,17.5
2021.0,223.0,2065.4,5.2,16.1
2022.0,130.0,2056.1,5.4,16.0
2023.0,187.0,2045.6,4.0,17.4
2024.0,147.0,2053.4,3.9,17.4
2025.0,168.0,2043.8,4.9,16.6
2026.0,300.0,2036.8,4.7,16.7
2027.0,121.0,2037.8,4.2,17.1
2028.0,147.0,2031.6,3.6,17.6
2029.0,287.0,2040.5,4.9,16.7
2030.0,300.0,2033.9,5.6,16.0
2031.0,162.0,2026.4,4.5,17.1
2032.0,267.0,2024.1,4.6,16.8
2033.0,194.0,2029.7,4.2,17.3
2034.0,300.0,2023.3,4.6,16.9
2035.0,232.0,2015.2,4.3,17.1
2036.0,300.0,2009.7,4.9,16.7
2037.0,255.0,2003.9,5.8,15.7
2038.0,300.0,1996.5,5.1,16.3
2039.0,165.0,2006.1,5.0,16.4
2040.0,241.0,2012.1,4.5,16.9
2041.0,300.0,2004.1,5.1,16.4
2042.0,156.0,2010.7,4.5,17.0
2043.0,186.0,2011.7,4.8,16.6
2044.0,174.0,2006.5,4.2,17.3
2045.0,300.0,2010.3,3.8,17.5
2046.0,163.0,2016.2,4.9,16.6
2047.0,162.0,2006.3,4.6,16.9
2048.0,192.0,2012.8,4.8,16.6
2049.0,132.0,2021.0,4.1,17.3
2050.0,151.0,2026.0,4.2,17.1
2051.0,300.0,2018.4,5.1,16.3
2052.0,300.0,2013.1,4.9,16.6
2053.0,300.0,2004.0,5.2,16.1
2054.0,168.0,2006.9,5.5,16.3
