# GameN, gameLength, gameElo, minBase, dinBase
1.0,116.0,2100.0,4.6,16.7
2.0,152.0,2100.0,6.8,14.7
3.0,162.0,2016.1,4.9,16.5
4.0,133.0,2016.3,3.9,17.5
5.0,123.0,2016.5,5.1,16.6
6.0,117.0,2016.7,6.5,14.8
7.0,128.0,2016.9,5.6,16.0
8.0,172.0,2017.0,5.0,16.6
9.0,127.0,2017.2,4.4,17.0
10.0,171.0,2017.4,5.3,16.1
11.0,113.0,2017.5,5.9,15.3
12.0,107.0,2017.7,6.2,15.3
13.0,114.0,2017.8,5.5,15.9
14.0,156.0,2018.0,3.9,17.4
15.0,113.0,2018.1,4.2,17.2
16.0,86.0,2018.3,5.9,15.5
17.0,126.0,2018.4,5.6,15.9
18.0,154.0,2018.6,2.9,18.3
19.0,169.0,2018.7,3.6,17.8
20.0,89.0,2018.8,4.5,16.9
21.0,85.0,2019.0,4.6,16.7
22.0,96.0,2019.1,7.3,14.0
23.0,129.0,2019.2,5.4,16.1
24.0,119.0,2019.4,4.8,16.7
25.0,187.0,2019.5,4.2,17.3
26.0,83.0,1997.1,3.9,17.5
27.0,161.0,1997.2,6.3,15.3
28.0,143.0,1978.1,4.8,16.7
29.0,86.0,1978.2,4.2,17.1
30.0,300.0,1978.4,6.8,14.8
31.0,101.0,2004.7,4.6,16.6
32.0,61.0,2027.7,3.4,17.9
33.0,151.0,2047.7,4.3,17.0
34.0,109.0,2065.2,4.4,17.2
35.0,222.0,2080.6,4.6,16.6
36.0,81.0,2080.7,3.2,18.0
37.0,106.0,2053.4,3.3,18.1
38.0,300.0,2029.2,6.4,15.1
39.0,150.0,2008.0,4.2,17.2
40.0,63.0,2029.3,3.3,17.9
41.0,93.0,2029.4,3.7,17.7
42.0,120.0,2008.5,5.1,16.3
43.0,152.0,2029.4,4.9,16.6
44.0,165.0,2029.5,5.2,16.4
45.0,102.0,2047.8,5.7,15.8
46.0,115.0,2026.4,4.1,17.3
47.0,141.0,2026.5,5.8,15.7
48.0,300.0,2043.6,5.2,16.1
49.0,132.0,2058.8,4.6,16.8
50.0,108.0,2072.3,5.8,15.5
51.0,130.0,2046.9,5.2,16.1
52.0,111.0,2047.0,4.5,16.9
53.0,166.0,2047.1,5.2,16.0
54.0,179.0,2061.6,5.4,16.2
55.0,119.0,2061.7,4.2,17.0
56.0,120.0,2061.7,4.7,16.8
57.0,160.0,2061.8,3.2,18.1
58.0,139.0,2038.2,7.0,14.3
59.0,149.0,2056.0,4.2,17.0
60.0,125.0,2056.1,5.1,16.1
61.0,137.0,2070.1,4.2,17.1
