# GameN, gameLength, gameElo, minBase, dinBase, meandistMine, meandistDine, isInFront, carryEnimy, carryAlly
1.00000,150.00000,1000.00000,5.60000,15.93122,26.05185,21.73228,0.50000,0.23069,0.04339
2.00000,117.00000,1000.00000,5.21540,16.05246,24.52567,15.77009,0.50000,0.32924,0.18638
3.00000,165.00000,1042.04482,4.34758,17.07993,24.53160,19.66636,0.50000,0.21097,0.18309
4.00000,175.00000,1075.46135,4.95719,16.63020,25.24138,27.44590,0.51784,0.13793,0.21403
5.00000,300.00000,1103.25619,5.20569,16.16334,20.44102,20.26255,0.61252,0.30248,0.17907
6.00000,256.00000,1060.16445,4.05670,17.30978,21.55053,19.24815,0.50000,0.15612,0.12325
7.00000,93.00000,1086.63405,4.34383,17.08690,31.31234,15.94962,0.50000,0.12720,0.00882
8.00000,195.00000,1109.86350,5.93174,15.60372,24.11968,14.31206,0.76108,0.28457,0.09929
9.00000,178.00000,1154.00816,6.34350,15.04815,25.65169,16.79133,0.70385,0.37400,0.07223
10.00000,168.00000,1208.78150,5.59445,15.68284,24.59012,18.64991,0.53293,0.30503,0.07626
11.00000,252.00000,1221.77988,6.98468,14.44566,20.21736,20.61999,0.61306,0.47265,0.08826
12.00000,112.00000,1233.75675,3.18795,18.14778,27.60832,21.21090,0.59469,0.03156,0.02296
13.00000,191.00000,1244.85645,4.70192,16.77404,25.10657,21.77564,0.56891,0.26923,0.20433
14.00000,104.00000,1240.45401,4.03837,17.39884,28.41977,14.10930,0.50000,0.12791,0.03023
15.00000,180.00000,1270.23772,5.15031,16.30368,28.39034,19.27377,0.61656,0.19325,0.04525
16.00000,92.00000,1297.36183,3.63307,17.77323,29.28819,15.66614,0.63622,0.07559,0.13386
17.00000,134.00000,1291.86913,6.64079,14.94868,22.97105,20.92500,0.64868,0.17632,0.03947
18.00000,136.00000,1286.60945,3.97191,17.24157,22.70880,11.83052,0.57397,0.18820,0.08052
19.00000,77.00000,1262.83439,5.75043,15.62222,31.45812,14.64615,0.50000,0.31795,0.13675
20.00000,176.00000,1306.33132,4.51943,16.76682,26.46256,17.53270,0.70427,0.23886,0.10142
21.00000,151.00000,1329.11974,4.96296,16.42273,25.91315,25.97573,0.79119,0.10473,0.09834
22.00000,154.00000,1303.39390,5.05567,16.66282,28.56933,21.12395,0.67384,0.03256,0.01576
23.00000,149.00000,1279.66707,5.69905,15.86123,32.38248,17.41023,0.50000,0.15785,0.07979
24.00000,120.00000,1275.08784,5.02113,16.36620,28.94601,17.11620,0.50000,0.47066,0.27465
25.00000,98.00000,1282.78182,4.53451,17.10279,30.79148,21.41557,0.73421,0.02496,0.01175
26.00000,156.00000,1305.84881,4.88488,16.60098,25.34537,21.39317,0.90146,0.29073,0.15610
27.00000,171.00000,1300.76830,5.06926,16.39865,31.20017,20.59459,0.50000,0.17821,0.07601
28.00000,205.00000,1295.86433,4.60683,16.77846,19.76007,16.70315,0.76708,0.23555,0.05692
29.00000,104.00000,1302.56149,4.47339,16.87089,29.20612,16.77803,0.54360,0.13250,0.06908
30.00000,103.00000,1281.06693,5.87163,15.43258,27.38080,13.76483,0.50000,0.37648,0.12190
31.00000,124.00000,1303.21145,4.12712,17.26755,29.77966,17.62954,0.62954,0.09080,0.00363
32.00000,109.00000,1309.51016,4.63177,16.63057,27.08424,12.04934,0.50000,0.07942,0.02407
33.00000,300.00000,1304.59591,5.60484,15.79377,15.77785,12.15017,0.50000,0.08166,0.12388
34.00000,214.00000,1341.56245,6.58377,14.98168,25.72688,17.23124,0.54756,0.31239,0.12216
35.00000,215.00000,1377.28841,4.54641,16.89750,24.15496,22.15174,0.75303,0.17676,0.08394
