# GameN, gameLength, gameElo
255.0,300.0,949.8
256.0,300.0,937.2
257.0,73.0,925.8
258.0,300.0,918.6
259.0,171.0,934.9
260.0,215.0,938.7
261.0,94.0,952.0
262.0,300.0,940.1
263.0,300.0,933.1
264.0,300.0,949.0
265.0,300.0,961.7
266.0,145.0,955.9
267.0,215.0,971.9
268.0,187.0,984.6
269.0,176.0,995.5
270.0,300.0,1004.2
271.0,300.0,989.8
272.0,300.0,1004.0
273.0,117.0,990.9
274.0,300.0,1005.0
275.0,300.0,1015.0
276.0,300.0,1024.4
277.0,300.0,1010.8
278.0,300.0,1021.3
279.0,178.0,1008.3
280.0,257.0,996.3
281.0,100.0,980.2
282.0,183.0,970.1
283.0,296.0,983.8
284.0,300.0,970.8
285.0,87.0,982.8
286.0,279.0,994.0
287.0,300.0,978.3
288.0,300.0,989.4
289.0,300.0,989.6
290.0,300.0,1000.1
291.0,300.0,1012.2
292.0,85.0,1023.7
293.0,160.0,1010.1
294.0,259.0,1021.8
295.0,300.0,1009.1
296.0,300.0,997.5
297.0,300.0,1011.4
298.0,300.0,1000.2
299.0,179.0,987.5
300.0,232.0,997.7
301.0,87.0,986.4
302.0,121.0,996.2
303.0,110.0,1009.9
304.0,210.0,996.7
305.0,269.0,1006.1
306.0,300.0,1017.5
307.0,130.0,1030.9
308.0,241.0,1029.0
309.0,300.0,1017.2
310.0,203.0,1005.7
311.0,300.0,1004.8
312.0,103.0,1013.6
313.0,290.0,1002.6
314.0,116.0,1011.4
315.0,300.0,1002.2
316.0,74.0,1013.6
317.0,260.0,1000.6
318.0,300.0,1013.9
319.0,201.0,1002.1
320.0,300.0,1014.8
321.0,146.0,1001.7
322.0,300.0,1013.3
323.0,300.0,1021.5
324.0,274.0,1009.4
325.0,284.0,997.1
326.0,132.0,990.9
327.0,300.0,1006.2
328.0,104.0,1017.3
329.0,262.0,1016.4
330.0,69.0,1005.2
331.0,70.0,1017.2
332.0,235.0,1025.2
333.0,298.0,1015.5
334.0,151.0,1003.0
335.0,300.0,1012.5
336.0,300.0,999.9
337.0,300.0,987.2
338.0,277.0,976.0
339.0,128.0,977.0
340.0,190.0,966.2
341.0,201.0,978.2
342.0,300.0,968.2
343.0,202.0,958.1
344.0,300.0,971.1
345.0,300.0,980.2
346.0,143.0,992.2
347.0,300.0,980.3
348.0,46.0,969.9
349.0,96.0,980.1
350.0,215.0,991.2
351.0,112.0,999.6
352.0,300.0,987.9
353.0,300.0,977.6
354.0,151.0,968.0
355.0,171.0,980.4
356.0,70.0,993.7
357.0,89.0,978.8
358.0,60.0,989.9
359.0,80.0,980.2
360.0,93.0,970.5
361.0,124.0,961.7
362.0,206.0,953.4
363.0,300.0,942.7
364.0,94.0,934.0
365.0,122.0,949.6
366.0,270.0,940.7
367.0,300.0,934.4
368.0,185.0,945.8
369.0,300.0,958.4
370.0,193.0,970.0
371.0,228.0,959.2
372.0,126.0,945.9
373.0,192.0,956.4
374.0,141.0,945.8
375.0,58.0,936.9
376.0,300.0,930.3
377.0,110.0,924.1
378.0,300.0,927.7
379.0,300.0,918.3
380.0,237.0,922.4
381.0,300.0,923.6
382.0,117.0,915.7
383.0,146.0,917.9
384.0,83.0,910.3
385.0,300.0,905.0
386.0,161.0,897.4
387.0,300.0,901.6
388.0,300.0,916.2
389.0,298.0,929.6
390.0,90.0,921.9
391.0,66.0,934.3
392.0,300.0,944.9
393.0,300.0,932.9
394.0,133.0,944.9
395.0,130.0,935.4
396.0,300.0,947.2
397.0,300.0,957.9
398.0,170.0,967.8
399.0,89.0,957.5
400.0,300.0,968.3
401.0,86.0,976.9
402.0,136.0,989.8
403.0,67.0,979.5
404.0,300.0,969.3
405.0,300.0,957.0
406.0,256.0,969.7
407.0,95.0,982.0
408.0,187.0,993.4
409.0,300.0,979.5
410.0,175.0,967.3
411.0,262.0,958.7
412.0,300.0,969.3
413.0,300.0,982.7
414.0,300.0,995.8
415.0,171.0,995.7
416.0,300.0,995.6
417.0,300.0,1008.2
418.0,57.0,1007.8
419.0,300.0,1018.3
420.0,300.0,1025.1
421.0,300.0,1012.2
422.0,300.0,1002.2
423.0,221.0,1012.2
424.0,251.0,1010.5
425.0,288.0,1002.9
426.0,300.0,1014.7
427.0,239.0,1004.9
428.0,74.0,1016.7
429.0,300.0,1026.5
430.0,117.0,1011.9
431.0,300.0,1020.5
432.0,208.0,1031.7
433.0,300.0,1041.6
434.0,300.0,1029.8
435.0,182.0,1019.0
436.0,300.0,1028.1
437.0,300.0,1037.5
438.0,300.0,1050.6
439.0,300.0,1047.8
440.0,188.0,1058.1
441.0,300.0,1043.9
442.0,300.0,1051.1
443.0,300.0,1050.0
444.0,300.0,1037.3
445.0,300.0,1045.6
446.0,300.0,1036.2
447.0,256.0,1025.9
448.0,125.0,1014.3
449.0,300.0,1003.9
450.0,300.0,1015.6
451.0,300.0,1005.7
452.0,113.0,995.1
453.0,77.0,986.4
454.0,105.0,977.1
455.0,300.0,986.9
456.0,110.0,997.5
457.0,300.0,998.1
458.0,50.0,988.6
459.0,300.0,979.7
460.0,80.0,991.0
461.0,119.0,980.6
462.0,300.0,992.5
463.0,100.0,1001.7
464.0,300.0,990.5
465.0,78.0,980.7
466.0,300.0,972.4
467.0,93.0,983.1
468.0,147.0,984.6
469.0,300.0,975.2
470.0,96.0,964.1
471.0,208.0,977.0
472.0,65.0,986.1
473.0,300.0,995.4
474.0,300.0,986.0
475.0,184.0,994.8
476.0,78.0,983.5
477.0,300.0,993.5
478.0,92.0,1002.8
479.0,300.0,992.9
480.0,300.0,1003.6
481.0,300.0,1014.7
482.0,300.0,1005.3
483.0,300.0,1003.5
484.0,300.0,992.3
485.0,300.0,1003.9
486.0,139.0,1014.6
487.0,72.0,1014.3
488.0,141.0,1004.7
489.0,300.0,994.1
490.0,300.0,985.7
491.0,300.0,994.9
492.0,111.0,982.8
493.0,214.0,973.3
494.0,146.0,962.3
495.0,171.0,973.2
496.0,300.0,980.8
497.0,300.0,987.9
498.0,300.0,985.4
499.0,126.0,983.9
500.0,87.0,974.0
501.0,300.0,965.0
502.0,300.0,954.5
503.0,300.0,966.8
504.0,77.0,974.3
505.0,84.0,966.5
506.0,152.0,975.4
507.0,135.0,984.8
508.0,223.0,974.6
509.0,289.0,967.8
510.0,300.0,957.8
511.0,210.0,970.1
512.0,300.0,971.1
513.0,227.0,960.9
514.0,88.0,953.7
515.0,278.0,965.4
516.0,71.0,960.7
517.0,77.0,971.5
518.0,67.0,981.7
519.0,126.0,989.8
520.0,97.0,977.1
521.0,157.0,965.2
522.0,300.0,977.1
523.0,300.0,968.9
524.0,82.0,961.7
525.0,83.0,952.4
526.0,300.0,963.6
527.0,300.0,973.4
528.0,135.0,976.4
529.0,300.0,987.0
530.0,300.0,997.0
531.0,212.0,997.4
532.0,300.0,986.8
533.0,246.0,972.7
534.0,300.0,963.0
535.0,110.0,953.8
536.0,76.0,964.5
537.0,300.0,972.1
538.0,85.0,964.3
539.0,300.0,954.9
540.0,61.0,964.5
541.0,76.0,973.2
