# GameN, gameLength, gameElo, minBase, dinBase
152.0,194.0,1341.1,0.2,0.2
153.0,74.0,1358.0,0.1,0.3
154.0,102.0,1366.1,0.3,0.2
155.0,119.0,1350.7,0.1,0.1
156.0,176.0,1338.5,0.2,0.2
157.0,109.0,1355.7,0.1,0.2
158.0,130.0,1343.4,0.1,0.2
159.0,136.0,1363.4,0.2,0.3
160.0,74.0,1378.7,0.1,0.2
161.0,143.0,1364.7,0.2,0.2
162.0,100.0,1380.7,0.2,0.2
163.0,156.0,1370.5,0.2,0.2
164.0,116.0,1385.2,0.2,0.2
165.0,198.0,1399.7,0.2,0.3
166.0,151.0,1413.4,0.2,0.2
167.0,84.0,1419.5,0.2,0.2
168.0,176.0,1431.9,0.2,0.2
169.0,112.0,1409.5,0.2,0.2
170.0,140.0,1398.6,0.1,0.3
171.0,205.0,1416.3,0.2,0.3
172.0,118.0,1418.6,0.2,0.3
173.0,115.0,1402.8,0.1,0.2
174.0,131.0,1415.9,0.2,0.1
175.0,96.0,1432.2,0.2,0.2
176.0,110.0,1444.4,0.2,0.2
177.0,114.0,1449.9,0.2,0.2
178.0,133.0,1424.4,0.2,0.2
179.0,77.0,1436.4,0.2,0.3
180.0,141.0,1447.5,0.2,0.2
181.0,145.0,1434.5,0.2,0.3
182.0,128.0,1445.2,0.1,0.2
183.0,181.0,1456.1,0.2,0.1
184.0,124.0,1438.9,0.2,0.2
185.0,180.0,1449.8,0.2,0.3
186.0,104.0,1460.7,0.2,0.2
187.0,141.0,1470.0,0.3,0.3
188.0,100.0,1479.3,0.1,0.3
189.0,128.0,1488.1,0.1,0.2
190.0,162.0,1472.9,0.2,0.2
191.0,66.0,1456.1,0.1,0.2
192.0,40.0,1438.6,0.3,0.1
193.0,200.0,1452.9,0.2,0.2
194.0,108.0,1440.4,0.2,0.2
195.0,104.0,1450.1,0.1,0.2
196.0,215.0,1434.1,0.1,0.2
197.0,237.0,1421.2,0.2,0.2
198.0,154.0,1432.6,0.2,0.2
199.0,123.0,1418.0,0.1,0.2
200.0,158.0,1406.3,0.2,0.2
201.0,169.0,1416.8,0.2,0.2
202.0,177.0,1430.1,0.2,0.2
203.0,151.0,1442.3,0.1,0.3
204.0,116.0,1427.3,0.2,0.2
205.0,127.0,1439.1,0.2,0.4
206.0,132.0,1424.8,0.2,0.2
207.0,175.0,1409.1,0.3,0.3
208.0,206.0,1394.3,0.1,0.2
209.0,122.0,1406.9,0.2,0.2
210.0,85.0,1409.2,0.2,0.2
211.0,106.0,1425.3,0.2,0.2
212.0,115.0,1434.7,0.3,0.2
213.0,83.0,1422.9,0.2,0.2
214.0,144.0,1410.1,0.2,0.2
215.0,132.0,1424.4,0.1,0.2
216.0,154.0,1426.5,0.1,0.3
217.0,60.0,1437.8,0.2,0.1
218.0,122.0,1439.8,0.2,0.2
219.0,177.0,1450.3,0.2,0.2
220.0,167.0,1455.3,0.2,0.2
221.0,127.0,1464.1,0.2,0.2
222.0,147.0,1449.7,0.1,0.3
223.0,147.0,1462.3,0.1,0.2
224.0,154.0,1474.0,0.2,0.2
225.0,165.0,1461.4,0.1,0.2
226.0,82.0,1469.1,0.1,0.3
227.0,65.0,1454.2,0.2,0.2
228.0,99.0,1442.1,0.2,0.2
229.0,174.0,1429.5,0.2,0.3
230.0,152.0,1419.0,0.2,0.2
231.0,84.0,1432.2,0.2,0.4
232.0,138.0,1446.2,0.1,0.2
233.0,47.0,1448.0,0.2,0.1
234.0,229.0,1434.0,0.2,0.2
235.0,92.0,1417.5,0.2,0.3
236.0,133.0,1400.8,0.1,0.2
237.0,137.0,1406.8,0.1,0.2
238.0,172.0,1420.4,0.2,0.2
239.0,126.0,1433.0,0.2,0.2
240.0,113.0,1417.2,0.2,0.2
241.0,24.0,1429.5,0.7,0.1
242.0,97.0,1431.4,0.2,0.1
243.0,97.0,1408.0,0.3,0.3
244.0,125.0,1398.1,0.1,0.2
245.0,152.0,1400.5,0.2,0.2
246.0,47.0,1416.8,0.3,0.3
247.0,99.0,1405.3,0.1,0.2
248.0,112.0,1416.4,0.1,0.2
249.0,53.0,1405.4,0.3,0.1
250.0,102.0,1411.0,0.2,0.1
251.0,82.0,1413.2,0.3,0.4
252.0,73.0,1399.1,0.2,0.2
253.0,146.0,1412.7,0.2,0.3
254.0,128.0,1400.3,0.3,0.2
255.0,130.0,1402.5,0.1,0.2
256.0,162.0,1388.7,0.2,0.3
257.0,130.0,1404.9,0.2,0.3
258.0,90.0,1395.4,0.3,0.3
259.0,101.0,1380.4,0.2,0.2
260.0,157.0,1396.9,0.2,0.3
261.0,114.0,1402.6,0.2,0.4
