# GameN, gameLength, gameElo, minBase, dinBase
1.0,262.0,1000.0,2.5,19.4
2.0,300.0,1000.0,10.4,12.4
3.0,237.0,998.2,12.6,10.4
4.0,300.0,986.4,13.0,10.6
5.0,300.0,976.1,11.5,12.3
6.0,190.0,966.9,11.7,11.7
7.0,141.0,958.4,11.3,11.8
8.0,179.0,957.4,5.4,17.6
9.0,300.0,956.4,7.3,15.5
10.0,126.0,955.4,5.0,17.5
11.0,125.0,930.9,8.4,14.9
12.0,157.0,930.0,7.5,15.6
13.0,226.0,962.2,6.3,16.3
14.0,248.0,961.3,10.7,12.4
15.0,276.0,938.3,7.0,16.1
16.0,193.0,932.5,3.2,18.7
17.0,161.0,931.8,4.9,17.4
18.0,155.0,911.9,5.8,16.9
19.0,184.0,911.3,7.2,15.3
20.0,275.0,910.6,9.3,13.5
21.0,143.0,910.0,8.8,14.0
22.0,189.0,905.4,9.6,12.6
23.0,300.0,934.6,5.7,17.0
24.0,300.0,929.5,3.4,18.6
25.0,266.0,924.6,10.6,12.4
26.0,300.0,919.8,7.4,15.0
27.0,136.0,963.5,9.3,13.1
28.0,275.0,957.8,4.2,17.8
29.0,190.0,982.1,7.7,14.5
30.0,212.0,976.0,5.8,16.4
31.0,117.0,970.1,2.6,18.6
32.0,138.0,964.4,4.0,17.8
33.0,300.0,963.6,7.4,14.8
34.0,300.0,986.7,12.6,10.3
35.0,300.0,966.8,4.0,17.5
36.0,300.0,961.3,4.3,17.2
37.0,204.0,943.2,9.0,13.4
38.0,254.0,938.4,3.2,18.3
39.0,234.0,921.8,4.2,17.1
40.0,105.0,946.2,8.0,13.9
41.0,272.0,941.5,4.4,17.1
42.0,152.0,925.0,8.9,13.2
43.0,272.0,924.5,3.0,18.5
44.0,115.0,959.4,8.6,13.5
45.0,300.0,942.2,8.4,13.9
46.0,282.0,964.7,2.5,18.7
47.0,207.0,959.7,3.7,17.9
48.0,84.0,959.0,4.5,16.6
49.0,164.0,992.2,4.7,16.9
50.0,174.0,1024.3,6.0,15.5
51.0,205.0,1023.4,3.2,18.1
52.0,300.0,1022.4,12.5,9.2
53.0,157.0,1021.5,4.7,16.5
54.0,300.0,1020.6,11.2,11.0
55.0,169.0,1038.0,2.3,18.9
56.0,272.0,1037.0,11.1,11.2
57.0,165.0,1072.5,3.9,17.5
58.0,300.0,1064.6,12.4,10.0
59.0,137.0,1079.4,8.2,13.4
60.0,287.0,1057.3,9.5,12.7
61.0,157.0,1056.2,4.5,16.9
62.0,295.0,1084.7,3.6,17.9
63.0,231.0,1083.5,9.6,12.3
64.0,180.0,1097.0,2.6,18.6
65.0,267.0,1088.4,5.4,16.2
66.0,209.0,1087.2,10.9,10.8
67.0,194.0,1079.0,7.0,14.6
68.0,253.0,1071.1,2.9,18.4
69.0,177.0,1104.8,3.4,18.0
70.0,203.0,1103.4,5.9,15.6
71.0,198.0,1129.4,11.3,10.8
72.0,300.0,1106.0,2.7,18.6
73.0,223.0,1104.6,4.2,17.3
74.0,300.0,1082.5,5.0,16.3
75.0,141.0,1095.6,3.6,17.6
76.0,179.0,1074.1,5.6,15.6
77.0,199.0,1072.9,10.6,11.2
78.0,230.0,1052.6,3.9,17.7
79.0,283.0,1045.8,12.3,9.8
80.0,300.0,1060.4,3.8,17.8
81.0,275.0,1059.4,6.6,14.7
82.0,183.0,1085.9,5.7,15.8
83.0,242.0,1084.7,3.6,17.6
84.0,229.0,1116.7,6.9,14.8
85.0,274.0,1115.3,3.2,18.1
86.0,221.0,1106.6,6.2,15.7
87.0,139.0,1118.1,5.1,16.6
88.0,182.0,1096.4,5.6,15.7
89.0,214.0,1095.2,4.3,17.0
