# GameN, gameLength, gameElo, minBase, dinBase, meandistMine, meandistDine, isInFront, carryEnimy, carryAlly
3535.00000,134.00000,2024.63170,3.72305,17.54275,27.86059,10.12732,0.50000,0.24442,0.05297
3536.00000,159.00000,2030.48231,3.85750,17.49195,26.34820,20.47831,0.62639,0.03841,0.03098
3537.00000,177.00000,2035.85005,4.58058,16.90395,28.10672,21.74386,0.64408,0.06510,0.01494
3538.00000,111.00000,2028.17156,4.63727,16.84344,32.13230,17.34289,0.50000,0.17751,0.05843
3539.00000,90.00000,2019.51558,5.86543,15.70494,34.12963,21.52840,0.54815,0.17531,0.03457
3540.00000,300.00000,2019.94339,4.93217,16.38595,17.21309,16.18908,0.53061,0.04622,0.03962
3541.00000,300.00000,2025.34626,5.56949,15.89769,19.31224,13.02365,0.59137,0.30219,0.09344
3542.00000,300.00000,2022.00057,6.97133,14.51493,25.55675,14.31422,0.50000,0.19355,0.02509
3543.00000,300.00000,2028.16545,5.94173,15.38409,20.17544,13.47556,0.68170,0.12782,0.03321
3544.00000,172.00000,2029.49151,3.86578,17.38832,22.91906,17.88115,0.57633,0.12910,0.07787
3545.00000,191.00000,2033.42084,4.39836,17.00350,20.27921,17.54907,0.61449,0.11215,0.01986
3546.00000,115.00000,2024.83551,3.97587,17.25079,30.48793,14.10703,0.57450,0.16894,0.05456
3547.00000,171.00000,2015.95297,4.84357,16.54990,24.29079,17.15067,0.57246,0.11036,0.01056
3548.00000,300.00000,2021.90294,5.65985,15.87596,24.08312,17.72379,0.52366,0.09271,0.04348
3549.00000,110.00000,2026.95759,3.66667,17.63529,17.55294,14.32549,0.50686,0.16471,0.18431
3550.00000,151.00000,2031.60715,4.79577,16.50402,30.10865,19.50805,0.52968,0.15091,0.07243
3551.00000,269.00000,2024.87658,6.19562,15.37076,21.25071,20.57486,0.88842,0.21186,0.02825
3552.00000,145.00000,2012.58184,3.57157,17.70470,23.72773,13.45646,0.50000,0.10410,0.06306
3553.00000,300.00000,2002.05832,4.92172,16.37870,22.15726,13.86812,0.69429,0.07475,0.01199
3554.00000,119.00000,2007.97936,5.98362,15.73507,35.10597,19.95665,0.50000,0.20424,0.10212
3555.00000,155.00000,2000.98654,4.60367,16.61680,19.25591,19.80446,0.62073,0.11417,0.04462
3556.00000,300.00000,2001.56194,5.56154,15.87949,22.03654,13.40833,0.58654,0.08718,0.02756
3557.00000,263.00000,1990.24033,5.48933,15.90169,23.76798,9.66236,0.50000,0.15225,0.01461
3558.00000,300.00000,1990.88152,6.08077,15.35382,21.68835,20.03360,0.67941,0.11937,0.06004
3559.00000,172.00000,1995.31846,3.65885,17.72542,31.71180,14.99697,0.50000,0.09228,0.03101
3560.00000,181.00000,1989.38788,5.05179,16.52500,26.12768,12.93036,0.50000,0.21339,0.22857
3561.00000,186.00000,1994.89645,4.94254,16.29286,24.29842,16.72753,0.58109,0.16404,0.08526
3562.00000,206.00000,2000.62092,5.02229,16.42345,27.33721,19.74903,0.59593,0.08430,0.03779
3563.00000,300.00000,2005.24210,5.55798,15.83670,24.73138,11.03032,0.50000,0.09947,0.05532
3564.00000,160.00000,1997.43993,5.22308,16.67308,33.77308,20.57788,0.68365,0.14904,0.05096
3565.00000,108.00000,2002.17324,4.27530,17.07557,30.45884,20.44130,0.70850,0.04588,0.01619
3566.00000,137.00000,1991.25718,3.42838,17.70828,20.14192,20.90145,0.68660,0.04074,0.00263
3567.00000,154.00000,1983.07816,4.89340,16.46582,22.21553,20.55156,0.69293,0.23175,0.03940
3568.00000,218.00000,1976.44372,5.56282,15.88866,21.62819,17.32686,0.68539,0.16650,0.00613
3569.00000,132.00000,1983.75657,5.00204,16.47503,30.24567,16.08869,0.50051,0.07543,0.10907
3570.00000,154.00000,1973.11124,4.42818,17.04517,27.58717,20.02439,0.73577,0.10930,0.02891
3571.00000,89.00000,1967.23064,4.48661,17.03492,36.84051,20.91735,0.50000,0.22352,0.04307
3572.00000,200.00000,1974.26494,4.48439,16.88861,25.46245,24.00759,0.72869,0.08017,0.01688
3573.00000,144.00000,1979.40060,4.99258,16.40784,27.33051,19.78072,0.60381,0.04767,0.01165
3574.00000,300.00000,1984.91765,6.21976,15.17708,19.18498,21.26877,0.77984,0.06640,0.01107
3575.00000,154.00000,1976.37031,4.05155,17.17732,25.80309,18.84124,0.64124,0.11649,0.02784
3576.00000,209.00000,1970.07432,4.49835,16.95517,28.60976,14.02505,0.50000,0.11404,0.01648
3577.00000,300.00000,1962.69529,5.21812,16.33406,22.88913,17.73623,0.59493,0.07899,0.02319
3578.00000,206.00000,1963.25667,5.03888,16.45763,32.33200,23.91625,0.56181,0.06481,0.00798
3579.00000,183.00000,1955.17493,4.63928,16.87901,27.90590,15.47573,0.50000,0.13219,0.06049
3580.00000,110.00000,1946.32166,3.11670,18.09457,32.26358,11.72938,0.50000,0.12374,0.05433
3581.00000,300.00000,1952.32471,6.14729,15.15715,21.64482,17.24383,0.80937,0.19309,0.03594
3582.00000,151.00000,1957.87056,3.11561,18.12139,18.74133,18.99711,0.60116,0.08815,0.04769
3583.00000,83.00000,1950.51495,4.07333,17.29667,35.73167,19.14000,0.53000,0.03667,0.00500
3584.00000,116.00000,1941.44078,4.54658,16.77091,36.22053,20.76236,0.50000,0.06749,0.03137
3585.00000,232.00000,1933.19068,4.55556,16.76803,22.70175,17.41033,0.61111,0.09844,0.05945
3586.00000,300.00000,1937.71875,5.45839,16.02080,15.40674,13.88307,0.57712,0.02224,0.02080
3587.00000,300.00000,1930.49562,5.65329,15.77578,29.41869,15.38685,0.54464,0.10519,0.04706
3588.00000,160.00000,1937.65925,3.30775,17.99354,30.01004,11.65136,0.50000,0.23673,0.12339
3589.00000,168.00000,1938.59816,4.44269,16.83202,24.50296,14.69170,0.50049,0.07312,0.09684
3590.00000,192.00000,1941.74661,4.01660,17.29548,28.66135,14.12948,0.50000,0.05246,0.01461
3591.00000,144.00000,1936.33960,3.57125,17.84375,28.21250,16.97500,0.61187,0.08875,0.02875
3592.00000,183.00000,1940.70533,4.09061,17.17260,23.84250,23.28263,0.71305,0.15858,0.05286
3593.00000,133.00000,1934.07985,3.89916,17.44258,24.83193,20.04622,0.80322,0.11625,0.02941
